timestamp,Q_in [m3/s],Q_dmv [m3/s],Q_t [m3/s],Water balance [m3/s],Reservoir Volume [m3],Water level [m slm],Volume loss [m3],Overflow [m3/s],Cum Volume loss [m3],Cum Volume turb [m3
2023-01-01 00:00:00,0.0,2,0,-2.0,22635467,822.82,0,0.0,0,0
2023-01-01 01:00:00,10.5,2,0,8.5,22666067,822.83,0,0.0,0,0
2023-01-01 02:00:00,18.4,2,0,16.4,22724927,822.86,0,0.0,0,0
2023-01-01 03:00:00,24.2,2,0,22.2,22804955,822.9,0,0.0,0,0
2023-01-01 04:00:00,28.6,2,0,26.6,22900787,822.95,0,0.0,0,0
2023-01-01 05:00:00,31.9,2,0,29.9,23008463,823.0,0,0.0,0,0
2023-01-01 06:00:00,34.4,2,0,32.4,23124995,823.06,0,0.0,0,0
2023-01-01 07:00:00,36.2,2,0,34.2,23248151,823.12,0,0.0,0,0
2023-01-01 08:00:00,37.6,2,0,35.6,23376239,823.19,0,0.0,0,0
2023-01-01 09:00:00,38.6,2,0,36.6,23508035,823.25,0,0.0,0,0
2023-01-01 10:00:00,39.4,2,0,37.4,23642603,823.32,0,0.0,0,0
2023-01-01 11:00:00,40.0,2,0,38.0,23779259,823.39,0,0.0,0,0
2023-01-01 12:00:00,40.4,2,0,38.4,23917463,823.46,0,0.0,0,0
2023-01-01 13:00:00,40.7,2,0,38.7,24056819,823.53,0,0.0,0,0
2023-01-01 14:00:00,41.0,2,0,39.0,24197039,823.6,0,0.0,0,0
2023-01-01 15:00:00,41.1,2,0,39.1,24337907,823.67,0,0.0,0,0
2023-01-01 16:00:00,41.3,2,0,39.3,24479279,823.74,0,0.0,0,0
2023-01-01 17:00:00,41.4,2,0,39.4,24621011,823.81,0,0.0,0,0
2023-01-01 18:00:00,41.4,2,0,39.4,24762995,823.88,0,0.0,0,0
2023-01-01 19:00:00,41.5,2,0,39.5,24905195,823.95,0,0.0,0,0
2023-01-01 20:00:00,41.5,2,0,39.5,25047539,824.02,0,0.0,0,0
2023-01-01 21:00:00,41.6,2,0,39.6,25189991,824.09,0,0.0,0,0
2023-01-01 22:00:00,41.6,2,0,39.6,25332551,824.17,0,0.0,0,0
2023-01-01 23:00:00,41.6,2,0,39.6,25475147,824.24,0,0.0,0,0
2023-01-02 00:00:00,41.6,2,0,39.6,25617743,824.31,0,0.0,0,0
2023-01-02 01:00:00,31.1,2,0,29.1,25722611,824.36,0,0.0,0,0
2023-01-02 02:00:00,23.3,2,0,21.3,25799219,824.4,0,0.0,0,0
2023-01-02 03:00:00,17.4,2,0,15.4,25854731,824.43,0,0.0,0,0
2023-01-02 04:00:00,13.0,2,0,11.0,25894439,824.45,0,0.0,0,0
2023-01-02 05:00:00,9.7,2,0,7.7,25922303,824.46,0,0.0,0,0
2023-01-02 06:00:00,7.3,2,0,5.3,25941347,824.47,0,0.0,0,0
2023-01-02 07:00:00,5.4,2,0,3.4,25953767,824.48,0,0.0,0,0
2023-01-02 08:00:00,4.1,2,0,2.1,25961255,824.48,0,0.0,0,0
2023-01-02 09:00:00,3.0,2,0,1.0,25965035,824.48,0,0.0,0,0
2023-01-02 10:00:00,2.3,2,0,0.3,25966043,824.48,0,0.0,0,0
2023-01-02 11:00:00,1.7,2,0,-0.3,25964999,824.48,0,0.0,0,0
2023-01-02 12:00:00,1.3,2,0,-0.7,25962407,824.48,0,0.0,0,0
2023-01-02 13:00:00,1.0,2,0,-1.0,25958627,824.48,0,0.0,0,0
2023-01-02 14:00:00,0.7,2,0,-1.3,25953983,824.48,0,0.0,0,0
2023-01-02 15:00:00,0.5,2,0,-1.5,25948691,824.47,0,0.0,0,0
2023-01-02 16:00:00,0.4,2,0,-1.6,25942931,824.47,0,0.0,0,0
2023-01-02 17:00:00,0.3,2,0,-1.7,25936811,824.47,0,0.0,0,0
2023-01-02 18:00:00,0.2,2,0,-1.8,25930403,824.47,0,0.0,0,0
2023-01-02 19:00:00,0.2,2,0,-1.8,25923815,824.46,0,0.0,0,0
2023-01-02 20:00:00,0.1,2,0,-1.9,25917083,824.46,0,0.0,0,0
2023-01-02 21:00:00,0.1,2,0,-1.9,25910207,824.46,0,0.0,0,0
2023-01-02 22:00:00,0.1,2,0,-1.9,25903259,824.45,0,0.0,0,0
2023-01-02 23:00:00,0.0,2,0,-2.0,25896239,824.45,0,0.0,0,0
2023-01-03 00:00:00,0.0,2,0,-2.0,25889183,824.44,0,0.0,0,0
2023-01-03 01:00:00,0.0,2,0,-2.0,25882091,824.44,0,0.0,0,0
2023-01-03 02:00:00,0.0,2,0,-2.0,25874963,824.44,0,0.0,0,0
2023-01-03 03:00:00,0.0,2,0,-2.0,25867835,824.43,0,0.0,0,0
2023-01-03 04:00:00,0.0,2,0,-2.0,25860671,824.43,0,0.0,0,0
2023-01-03 05:00:00,0.0,2,0,-2.0,25853507,824.43,0,0.0,0,0
2023-01-03 06:00:00,0.0,2,0,-2.0,25846343,824.42,0,0.0,0,0
2023-01-03 07:00:00,0.0,2,0,-2.0,25839179,824.42,0,0.0,0,0
2023-01-03 08:00:00,0.0,2,0,-2.0,25831979,824.42,0,0.0,0,0
2023-01-03 09:00:00,0.0,2,0,-2.0,25824779,824.41,0,0.0,0,0
2023-01-03 10:00:00,0.0,2,0,-2.0,25817579,824.41,0,0.0,0,0
2023-01-03 11:00:00,0.0,2,0,-2.0,25810379,824.41,0,0.0,0,0
2023-01-03 12:00:00,0.0,2,0,-2.0,25803179,824.4,0,0.0,0,0
2023-01-03 13:00:00,0.0,2,0,-2.0,25795979,824.4,0,0.0,0,0
2023-01-03 14:00:00,0.0,2,0,-2.0,25788779,824.39,0,0.0,0,0
2023-01-03 15:00:00,0.0,2,0,-2.0,25781579,824.39,0,0.0,0,0
2023-01-03 16:00:00,0.0,2,0,-2.0,25774379,824.39,0,0.0,0,0
2023-01-03 17:00:00,0.0,2,0,-2.0,25767179,824.38,0,0.0,0,0
2023-01-03 18:00:00,0.0,2,0,-2.0,25759979,824.38,0,0.0,0,0
2023-01-03 19:00:00,0.0,2,0,-2.0,25752779,824.38,0,0.0,0,0
2023-01-03 20:00:00,0.0,2,0,-2.0,25745579,824.37,0,0.0,0,0
2023-01-03 21:00:00,0.0,2,0,-2.0,25738379,824.37,0,0.0,0,0
2023-01-03 22:00:00,0.0,2,0,-2.0,25731179,824.37,0,0.0,0,0
2023-01-03 23:00:00,0.0,2,0,-2.0,25723979,824.36,0,0.0,0,0
2023-01-04 00:00:00,0.0,2,0,-2.0,25716779,824.36,0,0.0,0,0
