timestamp,Q_in [m3/s],Q_dmv [m3/s],Q_t [m3/s],Water balance [m3/s],Reservoir Volume [m3],Water level [m slm],Volume loss [m3],Overflow [m3/s],Cum Volume loss [m3],Cum Volume turb [m3
2023-01-01 00:00:00,0.0,2,16,-18.0,22577867,822.79,0,0.0,0,57600
2023-01-01 01:00:00,29.6,2,16,11.6,22619447,822.81,0,0.0,0,115200
2023-01-01 02:00:00,56.0,2,16,38.0,22756103,822.88,0,0.0,0,172800
2023-01-01 03:00:00,79.6,2,16,61.6,22977719,822.99,0,0.0,0,230400
2023-01-01 04:00:00,100.6,2,16,82.6,23275259,823.14,0,0.0,0,288000
2023-01-01 05:00:00,119.5,2,16,101.5,23640623,823.32,0,0.0,0,345600
2023-01-01 06:00:00,136.3,2,16,118.3,24066611,823.53,0,0.0,0,403200
2023-01-01 07:00:00,151.4,2,16,133.4,24546779,823.77,0,0.0,0,460800
2023-01-01 08:00:00,164.8,2,16,146.8,25075367,824.04,0,0.0,0,518400
2023-01-01 09:00:00,176.8,2,16,158.8,25647227,824.32,0,0.0,0,576000
2023-01-01 10:00:00,187.6,2,16,169.6,26257715,824.63,0,0.0,0,633600
2023-01-01 11:00:00,197.2,2,16,179.2,26902763,824.95,0,0.0,0,691200
2023-01-01 12:00:00,205.8,2,16,187.8,27578663,825.22,0,0.0,0,748800
2023-01-01 13:00:00,213.4,2,16,195.4,28282175,825.49,0,0.0,0,806400
2023-01-01 14:00:00,220.3,2,16,202.3,29010311,825.77,0,0.0,0,864000
2023-01-01 15:00:00,226.4,2,16,208.4,29760479,826.06,0,0.0,0,921600
2023-01-01 16:00:00,231.8,2,16,213.8,30530339,826.36,0,0.0,0,979200
2023-01-01 17:00:00,236.7,2,16,218.7,31317803,826.66,0,0.0,0,1036800
2023-01-01 18:00:00,241.1,2,16,223.1,32120963,826.97,0,0.0,0,1094400
2023-01-01 19:00:00,245.0,2,16,227.0,32938199,827.28,0,0.0,0,1152000
2023-01-01 20:00:00,248.5,2,16,230.5,33767963,827.6,0,0.0,0,1209600
2023-01-01 21:00:00,251.6,2,16,233.6,34608959,827.93,0,0.0,0,1267200
2023-01-01 22:00:00,254.4,2,16,236.4,35459963,828.25,0,0.0,0,1324800
2023-01-01 23:00:00,256.9,2,16,238.9,36319931,828.58,0,0.0,0,1382400
2023-01-02 00:00:00,256.9,2,16,238.9,37179899,828.92,0,0.0,0,1440000
2023-01-02 01:00:00,229.6,2,16,211.6,37941479,829.21,0,0.0,0,1497600
2023-01-02 02:00:00,205.1,2,16,187.1,38615147,829.47,0,0.0,0,1555200
2023-01-02 03:00:00,183.3,2,16,165.3,39210227,829.7,0,0.0,0,1612800
2023-01-02 04:00:00,163.8,2,16,145.8,39735107,829.9,0,0.0,0,1670400
2023-01-02 05:00:00,146.4,2,16,128.4,40000000,830.0,197275,54.8,197275,1728000
2023-01-02 06:00:00,130.8,2,16,112.8,40000000,830.0,406080,112.8,603355,1785600
2023-01-02 07:00:00,116.9,2,16,98.9,40000000,830.0,356004,98.9,959359,1843200
2023-01-02 08:00:00,104.4,2,16,86.4,40000000,830.0,311220,86.4,1270579,1900800
2023-01-02 09:00:00,93.3,2,16,75.3,40000000,830.0,271224,75.3,1541803,1958400
2023-01-02 10:00:00,83.4,2,16,65.4,40000000,830.0,235476,65.4,1777279,2016000
2023-01-02 11:00:00,74.5,2,16,56.5,40000000,830.0,203508,56.5,1980787,2073600
2023-01-02 12:00:00,66.6,2,16,48.6,40000000,830.0,174960,48.6,2155747,2131200
2023-01-02 13:00:00,59.5,2,16,41.5,40000000,830.0,149472,41.5,2305219,2188800
2023-01-02 14:00:00,53.2,2,16,35.2,40000000,830.0,126684,35.2,2431903,2246400
2023-01-02 15:00:00,47.5,2,16,29.5,40000000,830.0,106308,29.5,2538211,2304000
2023-01-02 16:00:00,42.5,2,16,24.5,40000000,830.0,88092,24.5,2626303,2361600
2023-01-02 17:00:00,38.0,2,16,20.0,40000000,830.0,71820,20.0,2698123,2419200
2023-01-02 18:00:00,33.9,2,16,15.9,40000000,830.0,57312,15.9,2755435,2476800
2023-01-02 19:00:00,30.3,2,16,12.3,40000000,830.0,44316,12.3,2799751,2534400
2023-01-02 20:00:00,27.1,2,16,9.1,40000000,830.0,32688,9.1,2832439,2592000
2023-01-02 21:00:00,24.2,2,16,6.2,40000000,830.0,22320,6.2,2854759,2649600
2023-01-02 22:00:00,21.6,2,16,3.6,40000000,830.0,13068,3.6,2867827,2707200
2023-01-02 23:00:00,19.3,2,16,1.3,40000000,830.0,4788,1.3,2872615,2764800
2023-01-03 00:00:00,17.3,2,16,-0.7,39997372,830.0,0,0.0,2872615,2822400
2023-01-03 01:00:00,15.4,2,16,-2.6,39988120,830.0,0,0.0,2872615,2880000
2023-01-03 02:00:00,13.8,2,16,-4.2,39972964,829.99,0,0.0,2872615,2937600
2023-01-03 03:00:00,12.3,2,16,-5.7,39952516,829.98,0,0.0,2872615,2995200
2023-01-03 04:00:00,11.0,2,16,-7.0,39927352,829.97,0,0.0,2872615,3052800
2023-01-03 05:00:00,9.8,2,16,-8.2,39897976,829.96,0,0.0,2872615,3110400
2023-01-03 06:00:00,8.8,2,16,-9.2,39864820,829.95,0,0.0,2872615,3168000
2023-01-03 07:00:00,7.9,2,16,-10.1,39828316,829.93,0,0.0,2872615,3225600
2023-01-03 08:00:00,7.0,2,16,-11.0,39788788,829.92,0,0.0,2872615,3283200
2023-01-03 09:00:00,6.3,2,16,-11.7,39746560,829.9,0,0.0,2872615,3340800
2023-01-03 10:00:00,5.6,2,16,-12.4,39701956,829.89,0,0.0,2872615,3398400
2023-01-03 11:00:00,5.0,2,16,-13.0,39655192,829.87,0,0.0,2872615,3456000
2023-01-03 12:00:00,4.5,2,16,-13.5,39606520,829.85,0,0.0,2872615,3513600
2023-01-03 13:00:00,4.0,2,16,-14.0,39556120,829.83,0,0.0,2872615,3571200
2023-01-03 14:00:00,3.6,2,16,-14.4,39504208,829.81,0,0.0,2872615,3628800
2023-01-03 15:00:00,3.2,2,16,-14.8,39450928,829.79,0,0.0,2872615,3686400
2023-01-03 16:00:00,2.9,2,16,-15.1,39396424,829.77,0,0.0,2872615,3744000
2023-01-03 17:00:00,2.6,2,16,-15.4,39340804,829.75,0,0.0,2872615,3801600
2023-01-03 18:00:00,2.3,2,16,-15.7,39284212,829.72,0,0.0,2872615,3859200
2023-01-03 19:00:00,2.0,2,16,-16.0,39226756,829.7,0,0.0,2872615,3916800
